day	hour	voix
1	1	212355
1	2	40501
1	3	8088
1	4	38874
1	5	16153
1	6	36927
1	7	73514
1	8	92454
1	9	62788
1	10	23414
1	11	46096
1	12	100422
1	13	32846
1	14	99376
2	1	101003
2	2	6300
2	3	9349
2	4	5294
2	5	3269
2	6	13839
2	7	9612
2	8	3698
2	9	18632
2	10	14833
2	11	11258
2	12	19737
2	13	41291
2	14	22677
3	1	18662
3	2	884
3	3	4089
3	4	3406
3	5	324
3	6	789
3	7	15617
3	8	582
3	9	7471
3	10	407
3	11	1184
3	12	12102
3	13	556
3	14	4343
4	1	5646
4	2	1682
4	3	673
4	4	731
4	5	377
4	6	1042
4	7	2344
4	8	0
4	9	3160
4	10	680
4	11	1074
4	12	2312
4	13	510
4	14	1758
5	1	115612
5	2	22026
5	3	5172
5	4	6513
5	5	2494
5	6	6245
5	7	19788
5	8	2239
5	9	17404
5	10	3808
5	11	5401
5	12	120054
5	13	2419
5	14	18649
