id,Region,Idrissa seck,Madicke Niang,Macky Sall,Ousmane Sonko,Cheikh Issa Sall,couleur
1,Dakar,115612,5646,212355,101003,18662,green
2,Diourbel,22026,1682,40501,6300,884,yellow
3,Fatick,5172,673,8088,9349,4089,red
4,Kaffrine,6513,731,38874,5294,3406,steelblue
5,Kaolack,18649,1758,99376,22677,4343,darkred
6,Kedougou,2494,377,16153,3269,324,orange
7,Kolda,6245,1042,36927,13839,789,darkgrey
8,Louga,19788,2344,73514,9612,15617,crimson
9,Matam,2239,0,92454,3698,582,blue
10,Saint-louis,17404,3160,62788,18632,7471,darkmagenta
11,Sedhiou,3808,680,23414,14833,407,cadetblue
12,Tamba,5401,1074,46096,11258,1184,darkblue
13,Thies,120054,2312,100422,19737,12102,dimgrey
14,Ziguinchor,2419,510,32846,41291,556,chocolate
